学号,概论作业1&2,概论作业4,lab1_1,lab1_2,lab2_1,lab2_2
1600017751,1,1,1,1,1,1
1600017765,1,1,1,1,1,1
1700017785,1,1,1,1,1,1
1700017788,1,1,1,1,1,1
1700094621,1,1,1,1,1,1
1800011701,1,1,1,1,1,1
1800011703,1,1,1,1,1,1
1800011707,1,1,1,1,1,1
1800011709,0,0,0,0,0,0
1800011711,1,1,1,1,1,1
1800011714,1,1,1,1,1,1
1800011715,1,1,1,1,1,1
1800011716,1,1,1,1,1,1
1800011717,1,1,1,1,1,1
1800011718,1,1,1,1,1,1
1800011720,1,1,1,1,1,1
1800011721,1,1,1,1,1,1
1800011722,0,0,1,1,1,1
1800011726,1,1,1,1,0,0
1800011733,1,1,1,1,1,1
1800011734,1,1,1,1,1,1
1800011736,0,0,1,1,1,1
1800011737,1,1,1,1,1,1
1800011738,1,1,1,1,1,1
1800011742,1,1,1,1,1,1
1800011745,1,1,1,1,1,1
1800011746,1,1,1,1,1,1
1800011747,1,1,1,1,1,1
1800011748,1,1,1,1,1,1
1800011749,1,1,1,1,1,1
1800011750,1,1,1,1,1,1
1800011751,1,1,1,1,1,1
1800011753,1,1,1,1,1,1
1800011755,1,1,1,1,1,1
1800011758,1,1,1,1,1,1
1800011759,1,1,1,1,1,1
1800011760,1,1,1,1,1,1
1800011761,1,0,1,1,1,1
1800011763,1,1,1,1,1,1
1800011764,1,1,1,1,1,1
1800011765,1,1,1,1,1,1
1800011767,1,1,1,1,1,1
1800011768,1,1,1,1,1,1
1800011770,1,1,1,1,1,1
1800011775,1,1,1,1,1,1
1800011776,1,1,1,1,1,1
1800011777,1,1,1,1,1,1
1800011779,1,1,1,1,1,1
1800011782,1,1,1,1,1,1
1800011783,1,1,1,1,1,1
1800011784,1,1,1,1,1,1
1800011785,1,1,1,1,1,1
1800011787,1,1,1,1,1,1
1800011791,1,1,1,1,1,1
1800011793,1,1,1,1,1,1
1800011794,1,1,1,1,1,1
1800011798,1,1,1,1,1,1
1800011799,1,1,1,1,1,1
1800011800,1,1,1,1,1,1
1800011802,1,1,1,1,1,1
1800011803,1,1,1,1,1,1
1800011804,1,1,1,1,1,1
1800011808,1,1,1,1,1,1
1800011809,1,1,1,1,1,1
1800011811,1,1,1,1,1,1
1800011813,1,1,1,1,1,1
1800011815,1,1,1,1,1,0
1800011816,1,1,1,1,1,1
1800011820,1,1,1,1,1,1
1800011821,1,1,1,1,1,1
1800011822,1,1,1,1,1,1
1800011825,1,1,1,1,1,1
1800011827,1,1,1,1,1,1
1800011828,1,1,1,1,1,1
1800011830,1,1,1,1,1,1
1800011832,1,1,1,1,1,1
1800011833,1,1,1,1,1,1
1800011834,1,1,1,1,1,1
1800011835,1,1,1,1,1,1
1800011837,1,1,1,1,1,1
1800011838,1,1,1,1,1,1
1800011839,1,1,1,1,1,1
1800011840,1,1,1,1,1,1
1800011843,1,1,1,1,1,1
1800011849,1,1,1,1,1,1
1800011850,1,1,1,1,1,1
1800013245,1,1,1,1,1,1
1800013256,1,1,1,1,1,1
1800017709,1,1,1,1,1,1
1800017771,1,1,1,1,1,1
1800017817,1,1,1,1,1,1
1800017877,1,1,1,1,1,1
1800094603,1,1,1,1,1,1
